index,b_int,g_int,r_int,h_int,s_int,v_int
f18c8.png,119.86,100.575,136.7075,123.6275,107.1425,139.6775
f18c9.png,157.0325,160.5675,203.495,21.2975,65.6475,203.495
f18c10.png,126.895,108.3375,138.07,122.9025,91.45,138.625
f18c11.png,137.5675,123.8725,138.81,120.3775,40.1125,139.225
f18c12.png,133.9675,115.06,158.3,114.8675,98.74,169.7
f18c13.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f18c14.png,177.2075,158.24,182.075,119.5825,61.9075,183.54
f19c0.png,121.075,107.2125,121.085,119.01,49.3375,122.9025
f19c1.png,116.3975,100.545,117.455,116.8925,68.1375,123.4775
f19c2.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f19c3.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f19c4.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f19c5.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f19c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f19c7.png,183.1775,163.8825,187.715,118.345,58.8825,188.545
f19c8.png,136.3025,122.81,137.8975,120.8675,40.19,138.035
f19c9.png,102.4275,89.8425,99.93,114.3325,60.93,104.7575
f19c10.png,116.405,91.92,184.05,130.5975,145.13,188.3975
f19c11.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f20c0.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f20c1.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f20c2.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f20c3.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f20c4.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f20c5.png,121.8925,101.5225,109.6025,107.2625,70.385,123.985
f20c6.png,157.035,160.56,203.5175,21.2975,65.665,203.5175
f20c7.png,136.625,122.985,138.18,120.7775,40.38,138.3625
f20c8.png,145.8175,138.8,189.91,87.615,80.5,191.6225
f20c9.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f21c0.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f21c1.png,126.27,113.525,128.5275,121.855,43.93,128.5425
f21c2.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f21c3.png,207.2025,220.25,215.6125,42.23,40.3325,227.91
f21c4.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f21c5.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f21c6.png,157.0325,160.5725,203.495,21.3075,65.6225,203.495
f21c7.png,108.01,95.0125,107.5875,115.4325,60.43,112.5475
f21c8.png,121.5725,101.5575,109.4825,107.3225,70.035,123.755
f21c9.png,146.35,129.285,161.98,105.4225,84.615,175.1575
f21c10.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f22c0.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f22c1.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f22c2.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f22c3.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f22c4.png,119.0425,101.365,112.1275,113.2725,63.12,120.39
f22c5.png,132.1375,105.9525,93.4375,89.415,107.7975,132.1375
f22c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f22c7.png,116.7025,96.5275,107.71,111.76,77.59,117.615
f22c8.png,157.2425,160.71,203.6725,21.255,65.5875,203.6725
f22c9.png,203.0,181.53,214.75,122.6525,56.88,215.6275
f22c10.png,133.97,109.8475,120.6525,107.17,67.07,133.97
f22c11.png,121.52,101.475,109.42,107.3425,70.115,123.7025
f22c12.png,110.0925,96.1675,126.4775,124.8325,79.835,127.6425
f22c13.png,134.7925,121.595,136.4275,120.94,39.91,136.8375
f22c14.png,144.1025,122.87,153.42,111.8825,91.2725,170.43
f23c0.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
